ExpNum,TestNum,StartFrame,EndFrame,VecDistance,,,動作1,動作2,動作3,動作4,動作5,動作6
4,1,630,719,0.938108308,0.583762874,,,,,,,
4,2,0,89,0.993133793,-1111,,,,,,,
4,2,90,179,0.68364921,-1111,,,,,,,
4,2,180,269,0.927907205,-1111,,,,,,,
4,2,270,359,0.95715007,-1111,,,,,,,
4,2,360,449,0.869167513,-1111,,,,,,,
4,2,450,539,-0.229240714,-1111,,,,,,,
4,2,540,629,-0.041037398,-1111,,,,,,,
4,2,630,719,0.926365871,0.635886944,,,,,,,
4,3,0,89,0.984803613,-1111,,,,,,,
4,3,90,179,0.909562421,-1111,,,,,,,
4,3,180,269,0.97311088,-1111,,,,,,,
4,3,270,359,0.860677257,-1111,,,,,,,
4,3,360,449,0.93854422,-1111,,,,,,,
4,3,450,539,0.800292829,-1111,,,,,,,
4,3,540,629,-0.256491347,-1111,,,,,,,
4,3,630,719,0.932040161,0.767817504,,,,,,,
4,4,0,89,0.99757041,-1111,,,,,,,
4,4,90,179,0.942424404,-1111,,,,,,,
4,4,180,269,0.98359144,-1111,,,,,,,
4,4,270,359,0.843501952,-1111,,,,,,,
4,4,360,449,0.871442615,-1111,,,,,,,
4,4,450,539,0.753092748,-1111,,,,,,,
4,4,540,629,0.92072964,-1111,,,,,,,
4,4,630,719,0.996436221,0.913598679,,,,,,,
5,1,0,89,0.992930826,-1111,,,,,,,
5,1,90,179,0.756637644,-1111,,,,,,,
5,1,180,269,0.996998296,-1111,,,,,,,
5,1,270,359,0.960416077,-1111,,,,,,,
5,1,360,449,0.870809739,-1111,,,,,,,
5,1,450,539,0.900708881,-1111,,,,,,,
5,1,540,629,-0.737076956,-1111,,,,,,,
5,1,630,719,0.211539999,0.619120563,,,,,,,
5,2,0,89,0.997314701,-1111,,,,,,,
5,2,90,179,0.800687163,-1111,,,,,,,
5,2,180,269,0.980746964,-1111,,,,,,,
5,2,270,359,0.987076602,-1111,,,,,,,
5,2,360,449,0.928605751,-1111,,,,,,,
5,2,450,539,0.820333079,-1111,,,,,,,
5,2,540,629,-0.844840184,-1111,,,,,,,
5,2,630,719,0.980784814,0.706338611,,,,,,,
5,3,0,89,0.999579964,-1111,,,,,,,
5,3,90,179,0.806683514,-1111,,,,,,,
5,3,180,269,0.862128276,-1111,,,,,,,
