ExpNum,TestNum,Mode,Normalized,Result
4,4,Same Time Frame (Position),True,0.19787463915804532
4,4,Same Time Frame (Position),False,142.46974019379263
4,4,Relative Time Frame (Position),True,0.20370624885477429
4,4,Relative Time Frame (Position),False,146.6684991754375
5,1,DTW Calculated Path (Position),True,0.15769628222500306
5,1,DTW Calculated Path (Position),False,135.14571386682763
5,1,Same Time Frame (Position),True,0.22315392320662966
5,1,Same Time Frame (Position),False,160.67082470877335
5,1,Relative Time Frame (Position),True,0.23583958675909966
5,1,Relative Time Frame (Position),False,169.80450246655175
5,2,DTW Calculated Path (Position),True,0.181821511873797
5,2,DTW Calculated Path (Position),False,144.9117449634162
5,2,Same Time Frame (Position),True,0.20738960473493073
5,2,Same Time Frame (Position),False,149.32051540915012
5,2,Relative Time Frame (Position),True,0.21356626832781156
5,2,Relative Time Frame (Position),False,153.76771319602432
5,3,DTW Calculated Path (Position),True,0.16671404033076997
5,3,DTW Calculated Path (Position),False,130.70380761932367
5,3,Same Time Frame (Position),True,0.18671301814299987
5,3,Same Time Frame (Position),False,134.4333730629599
5,3,Relative Time Frame (Position),True,0.19474186436086857
5,3,Relative Time Frame (Position),False,140.21414233982537
6,1,DTW Calculated Path (Position),True,0.20245036979789674
6,1,DTW Calculated Path (Position),False,194.55480537577876
6,1,Same Time Frame (Position),True,0.37798500042684136
6,1,Same Time Frame (Position),False,272.14920030732577
6,1,Relative Time Frame (Position),True,0.36291719708056036
6,1,Relative Time Frame (Position),False,261.3003818980035
6,2,DTW Calculated Path (Position),True,0.21613689082958223
6,2,DTW Calculated Path (Position),False,171.39655442785872
6,2,Same Time Frame (Position),True,0.24021731905976934
6,2,Same Time Frame (Position),False,172.95646972303393
6,2,Relative Time Frame (Position),True,0.24265054000320355
6,2,Relative Time Frame (Position),False,174.70838880230656
6,3,DTW Calculated Path (Position),True,0.21048498682543118
6,3,DTW Calculated Path (Position),False,177.43884389383848
6,3,Same Time Frame (Position),True,0.25312379816606567
6,3,Same Time Frame (Position),False,182.24913467956728
6,3,Relative Time Frame (Position),True,0.26072081477839454
6,3,Relative Time Frame (Position),False,187.71898664044406
