ExpNum,TestNum,Mode,Normalized,Result
3,6,Relative Time Frame (Vector Diffs),False,1.967110069160334e-05
4,1,DTW Calculated Path (Vector Diffs),True,0.5232540885484135
4,1,DTW Calculated Path (Vector Diffs),False,1.148157920508046e-05
4,1,Same Time Frame (Vector Diffs),True,0.4602104524074745
4,1,Same Time Frame (Vector Diffs),False,1.0489523101910987e-05
4,1,Relative Time Frame (Vector Diffs),True,0.3884620247709855
4,1,Relative Time Frame (Vector Diffs),False,9.417460610977472e-06
4,2,DTW Calculated Path (Vector Diffs),True,0.5793852820279931
4,2,DTW Calculated Path (Vector Diffs),False,1.3297900728591355e-05
4,2,Same Time Frame (Vector Diffs),True,0.5244389427149354
4,2,Same Time Frame (Vector Diffs),False,1.329936165621864e-05
4,2,Relative Time Frame (Vector Diffs),True,0.49752190578911115
4,2,Relative Time Frame (Vector Diffs),False,1.2489539548245893e-05
4,3,DTW Calculated Path (Vector Diffs),True,0.7129222620263691
4,3,DTW Calculated Path (Vector Diffs),False,1.708784151284016e-05
4,3,Same Time Frame (Vector Diffs),True,0.4375580035412424
4,3,Same Time Frame (Vector Diffs),False,1.2096453095924899e-05
4,3,Relative Time Frame (Vector Diffs),True,0.4375580035412424
4,3,Relative Time Frame (Vector Diffs),False,1.2096453095924899e-05
4,4,DTW Calculated Path (Vector Diffs),True,0.7972638121964866
4,4,DTW Calculated Path (Vector Diffs),False,1.842831686667155e-05
4,4,Same Time Frame (Vector Diffs),True,0.6664823759054422
4,4,Same Time Frame (Vector Diffs),False,1.6013135697221926e-05
4,4,Relative Time Frame (Vector Diffs),True,0.728362036045617
4,4,Relative Time Frame (Vector Diffs),False,1.7630075495858557e-05
5,1,DTW Calculated Path (Vector Diffs),True,0.6677347525857527
5,1,DTW Calculated Path (Vector Diffs),False,1.7282979279688795e-05
5,1,Same Time Frame (Vector Diffs),True,0.5000010004690011
5,1,Same Time Frame (Vector Diffs),False,1.4737173947382334e-05
5,1,Relative Time Frame (Vector Diffs),True,0.4723184980049208
5,1,Relative Time Frame (Vector Diffs),False,1.4124361287753967e-05
5,2,DTW Calculated Path (Vector Diffs),True,0.6968208473403887
5,2,DTW Calculated Path (Vector Diffs),False,1.900886416761278e-05
5,2,Same Time Frame (Vector Diffs),True,0.6556287630175405
5,2,Same Time Frame (Vector Diffs),False,1.8521537298602224e-05
5,2,Relative Time Frame (Vector Diffs),True,0.6725388164277093
5,2,Relative Time Frame (Vector Diffs),False,1.804201224398025e-05
5,3,DTW Calculated Path (Vector Diffs),True,0.8294166045549355
5,3,DTW Calculated Path (Vector Diffs),False,2.040821707477597e-05
5,3,Same Time Frame (Vector Diffs),True,0.5662037189097087
5,3,Same Time Frame (Vector Diffs),False,1.4667158666901429e-05
5,3,Relative Time Frame (Vector Diffs),True,0.6678481581043723
5,3,Relative Time Frame (Vector Diffs),False,1.7361713765867142e-05
6,1,DTW Calculated Path (Vector Diffs),True,0.5603265348872177
6,1,DTW Calculated Path (Vector Diffs),False,1.6526109688780097e-05
6,1,Same Time Frame (Vector Diffs),True,0.12234042325877593
6,1,Same Time Frame (Vector Diffs),False,5.00430046911683e-06
6,1,Relative Time Frame (Vector Diffs),True,0.1634568319972148
6,1,Relative Time Frame (Vector Diffs),False,5.72370367803477e-06
6,2,DTW Calculated Path (Vector Diffs),True,0.8333299042167566
6,2,DTW Calculated Path (Vector Diffs),False,3.0141477044496758e-05
6,2,Same Time Frame (Vector Diffs),True,0.8002344263805169
6,2,Same Time Frame (Vector Diffs),False,3.0873667545360224e-05
6,2,Relative Time Frame (Vector Diffs),True,0.7517269344445024
6,2,Relative Time Frame (Vector Diffs),False,2.9184208695936025e-05
6,3,DTW Calculated Path (Vector Diffs),True,0.8218626644847993
6,3,DTW Calculated Path (Vector Diffs),False,3.105772946710817e-05
6,3,Same Time Frame (Vector Diffs),True,0.624616332743553
6,3,Same Time Frame (Vector Diffs),False,2.4851182146642563e-05
6,3,Relative Time Frame (Vector Diffs),True,0.624616332743553
6,3,Relative Time Frame (Vector Diffs),False,2.4851182146642563e-05
