Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW,frameDiff,userLevel,preTrialOffset,preLevelOffset,
1,0.01111111,0.4996381,1.244468,2.90510386,0.561947,-0.6198098,0.3615166,-0.41153,,,,,3
1,0.02222222,0.5018347,1.242148,2.91210738,0.5619273,-0.6204806,0.3635082,-0.4087829,,,,,
1,0.03333334,0.5045497,1.239394,2.91984414,0.5644521,-0.6149099,0.3714439,-0.4065821,,,,,
1,0.04444445,0.5071452,1.237517,2.92748014,-0.5666159,0.6069245,-0.3835701,0.4043058,,,,,
1,0.05555556,0.5095696,1.235338,2.9357353,-0.5660961,0.5992373,-0.3970801,0.4034566,,,,,
1,0.06666667,0.5119031,1.233281,2.94383826,-0.5639998,0.5928244,-0.409468,0.4034841,,,,,
1,0.07777778,0.5142345,1.23154,2.95284153,-0.5588431,0.5879384,-0.4216301,0.4052786,,,,,
1,0.08888889,0.5166711,1.229556,2.96313349,-0.5525182,0.5860887,-0.4301915,0.4076259,,,,,
1,0.1,0.5190057,1.227571,2.97458172,-0.5477765,0.5843309,-0.4366701,0.4096554,,,,,
1,0.1111111,0.5210222,1.225501,2.98686464,-0.5442523,0.581378,-0.4433612,0.4113636,,,,,
1,0.1222222,0.5232896,1.223719,2.998742417,-0.5410518,0.5773954,-0.4513729,0.4124804,,,,,
1,0.1333333,0.5249246,1.221217,3.01242594,0.5382231,-0.5711011,0.46143,-0.4138137,,,,,
1,0.1444445,0.5263081,1.218969,3.0265284,0.5349054,-0.5629923,0.473597,-0.4154775,,,,,
1,0.1555556,0.5272259,1.21698,3.04117633,0.5297182,-0.5542738,0.4872607,-0.4180383,,,,,
1,0.1666667,0.5280979,1.21482,3.05557955,0.5230892,-0.5467722,0.500044,-0.4211577,,,,,
1,0.1777778,0.5281373,1.212945,3.0711253,0.5137188,-0.5384449,0.5137027,-0.4269421,,,,,
1,0.1888889,0.5276136,1.211168,3.08725829,0.5027746,-0.5311466,0.5256702,-0.4344788,,,,,
1,0.2,0.5263209,1.209401,3.103967,0.4900887,-0.5253373,0.5357012,-0.443687,,,,,
