Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW,frameDiff,userLevel,preTrialOffset,preLevelOffset
1,0.01111111,0.1304341096433932,1.3065638711550072,0.41015302512524954,0.4276948,-0.5477425,0.1387488,-0.7055524,,,,
1,0.02222222,0.13043250563997338,1.306563195109586,0.41015277602674244,0.4282525,-0.5475163,0.1414256,-0.7048578,,,,
1,0.03333334,0.13042929813186876,1.3065618431147379,0.41015227809307675,0.4261356,-0.5469392,0.1460434,-0.7056468,,,,
1,0.04444445,0.13042448770971068,1.3065598149364233,0.4101515313051083,0.421765,-0.5486452,0.1521035,-0.7056679,,,,
1,0.05555556,0.13041807511788975,1.3065571103761582,0.4101505354357056,0.417175,-0.5519765,0.1554929,-0.7050595,,,,
1,0.06666667,0.13041005904577668,1.3065537249291417,0.4101492890613419,0.4102774,-0.5570018,0.1603114,-0.7040752,,,,
1,0.07777778,0.13040044365259124,1.3065496684104076,0.41014779296940074,0.4028621,-0.5602483,0.1685086,-0.703867,,,,
1,0.08888889,0.1303892283823364,1.3065449359360617,0.4101460457519728,0.3953232,-0.5623168,0.1783576,-0.7040653,,,,
1,0.1,0.13037641481821652,1.306539527828779,0.4101440464915392,0.3869509,-0.5649635,0.1883134,-0.7040052,,,,
1,0.1111111,0.1303620043000143,1.3065334436995775,0.4101417952881614,0.3791437,-0.5678136,0.196834,-0.7036293,,,,
1,0.1222222,0.13034599884995374,1.3065266843584122,0.41013929054270654,0.3679023,-0.571011,0.2080159,-0.7037923,,,,
1,0.1333333,0.1303284011170205,1.3065192500538725,0.4101365309822396,0.3526304,-0.5754363,0.218957,-0.7046862,,,,
1,0.1444445,0.13030921294298736,1.3065111404632443,0.4101335159257869,0.3330881,-0.5830237,0.2241236,-0.7063316,,,,
1,0.1555556,0.1302884384610386,1.3065023575006471,0.4101302435006936,0.3090337,-0.5909706,0.2267025,-0.7098295,,,,
1,0.1666667,0.1302660799200391,1.306492900211272,0.4101267124866822,0.2850875,-0.5971847,0.230041,-0.713566,,,,
