Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW,frameDiff,userLevel,preTrialOffset,preLevelOffset,,
1,0.2444444,0.4400845,1.183521,3.1658399,-0.09241605,-0.6660745,0.03898213,-0.7391106,,,,,,-1
1,0.2555556,0.4391184,1.179566,3.1592622,-0.1009536,-0.656945,0.03779617,-0.7461925,,,,,,3
1,0.2666667,0.437688,1.175342,3.1530139,-0.1094094,-0.6479038,0.03611988,-0.7529579,,,,,,
1,0.2777778,0.4367027,1.171259,3.1462674,-0.1185221,-0.638315,0.03413509,-0.7598298,,,,,,
1,0.2888889,0.4349737,1.166989,3.1398687,-0.1269271,-0.6292474,0.03268674,-0.7660736,,,,,,
1,0.3,0.433257,1.162534,3.1336552,-0.1352066,-0.6200308,0.03161436,-0.7721927,,,,,,
1,0.3111111,0.4313463,1.158119,3.1273884,-0.1432829,-0.6105998,0.03140216,-0.7782363,,,,,,
1,0.3222222,0.4294415,1.153497,3.1210611,-0.1513669,-0.601101,0.03115721,-0.7840886,,,,,,
1,0.3333333,0.4273349,1.149168,3.1150011,-0.1602542,-0.59118,0.03143864,-0.7898332,,,,,,
1,0.3444445,0.4250893,1.144995,3.109066,-0.1707655,-0.580138,0.03164119,-0.7957876,,,,,,
1,0.3555556,0.4233146,1.140892,3.1027242,-0.1798828,-0.5694927,0.0314367,-0.8014562,,,,,,
1,0.3666667,0.4210436,1.136687,3.0970121,-0.1890526,-0.5577862,0.03262803,-0.8075081,,,,,,
1,0.3777778,0.419,1.132414,3.0909808,-0.1973737,-0.5465211,0.03319901,-0.8131766,,,,,,
1,0.3888889,0.4166171,1.128253,3.0852169,-0.2052179,-0.535586,0.03464374,-0.8184333,,,,,,
1,0.4,0.4142129,1.124235,3.0795463,-0.2136921,-0.5250128,0.03571929,-0.8230562,,,,,,
1,0.4111111,0.4116084,1.12019,3.0736973,-0.2218727,-0.5146889,0.03640989,-0.8273706,,,,,,
1,0.4222222,0.4088739,1.11597,3.067958,-0.2286067,-0.5044463,0.03707505,-0.8318043,,,,,,
1,0.4333333,0.4062685,1.111928,3.062213,-0.235264,-0.4938853,0.03837289,-0.836215,,,,,,
1,0.4444444,0.4036067,1.108152,3.0568083,-0.2425351,-0.4830167,0.04019441,-0.8403903,,,,,,
1,0.4555556,0.4010571,1.104824,3.0514217,-0.251804,-0.4710348,0.04163471,-0.8443859,,,,,,
1,0.4666667,0.3986238,1.10208,3.0461216,-0.2636418,-0.4579549,0.04266699,-0.847909,,,,,,
1,0.4777778,0.3964042,1.099509,3.0406177,-0.2766588,-0.4441442,0.04293736,-0.8510888,,,,,,
1,0.4888889,0.3943394,1.096892,3.0352963,-0.2879425,-0.4302822,0.04346663,-0.8544338,,,,,,
1,0.5,0.3923783,1.094453,3.0301326,-0.2977465,-0.41518,0.04404953,-0.8585058,,,,,,
1,0.5111111,0.3904652,1.09211,3.0252358,-0.3054691,-0.4015463,0.04426397,-0.8622586,,,,,,
1,0.5222223,0.3883505,1.089964,3.0199507,-0.3143715,-0.3883593,0.04352916,-0.8651317,,,,,,
1,0.5333334,0.3865277,1.088499,3.0149189,-0.3229823,-0.3755885,0.04152894,-0.8676929,,,,,,
1,0.5444446,0.3846499,1.086954,3.0099901,-0.3307247,-0.3629759,0.03920708,-0.8702486,,,,,,
1,0.5555557,0.3832189,1.086443,3.0052023,-0.3400026,-0.349518,0.03583021,-0.8723254,,,,,,
1,0.5666668,0.3820685,1.085602,3.0002319,-0.3494744,-0.3348571,0.03239641,-0.8744648,,,,,,
1,0.577778,0.3815936,1.085626,2.9956258,-0.358685,-0.318476,0.02794865,-0.8770046,,,,,,
1,0.5888891,0.3811972,1.085884,2.9911881,-0.3651813,-0.3022969,0.02472647,-0.8801408,,,,,,
1,0.6000003,0.3805884,1.085812,2.9870185,-0.3681545,-0.2884556,0.02241611,-0.8836025,,,,,,
1,0.6111114,0.3798372,1.086333,2.9826849,-0.3709809,-0.2760913,0.01958323,-0.8864329,,,,,,
1,0.6222225,0.3790781,1.086755,2.978123,-0.3756381,-0.2639666,0.01657119,-0.8882247,,,,,,
1,0.6333337,0.3783508,1.088415,2.9734809,-0.3809114,-0.253654,0.01318133,-0.8890402,,,,,,
1,0.6444448,0.37813,1.090496,2.9689207,-0.3873128,-0.2422412,0.008975632,-0.8895097,,,,,,
1,0.655556,0.3781451,1.092828,2.9645522,-0.393384,-0.2296187,0.004352808,-0.8902277,,,,,,
1,0.6666671,0.3785746,1.095634,2.9601754,-0.3995005,-0.2163146,-0.00125517,-0.8908455,,,,,,
1,0.6777782,0.3788936,1.097888,2.9557894,-0.4043724,-0.2039061,-0.006725442,-0.8915493,,,,,,
1,0.6888894,0.3790364,1.100792,2.9516727,-0.4072452,-0.1928888,-0.01288037,-0.892625,,,,,,
1,0.7000005,0.3793838,1.104434,2.9476845,-0.4106428,-0.1818169,-0.01916494,-0.8932793,,,,,,
1,0.7111117,0.3796977,1.107873,2.94348463,-0.4146451,-0.170702,-0.02599055,-0.893451,,,,,,
1,0.7222228,0.3812355,1.112204,2.93922233,-0.4192746,-0.1586573,-0.0351608,-0.8931968,,,,,,
1,0.7333339,0.3827806,1.116678,2.93535512,-0.4218416,-0.1470676,-0.04850459,-0.8933465,,,,,,
1,0.7444451,0.3838865,1.12179,2.93179861,-0.4220461,-0.1377315,-0.06594309,-0.8936211,,,,,,
1,0.7555562,0.3850285,1.126532,2.92809991,-0.4223511,-0.1286552,-0.0819267,-0.8935074,,,,,,
1,0.7666674,0.386278,1.132387,2.92483669,-0.4201459,-0.1218931,-0.1009114,-0.8935527,,,,,,
1,0.7777785,0.387913,1.138564,2.92161199,-0.4182355,-0.1144742,-0.1170753,-0.8934586,,,,,,
1,0.7888896,0.3903325,1.145639,2.91829967,-0.4178873,-0.1046036,-0.133461,-0.8925338,,,,,,
1,0.8000008,0.3931745,1.153427,2.91486166,-0.4189227,-0.09166808,-0.1502678,-0.8907977,,,,,,
1,0.8111119,0.3965443,1.161875,2.91142494,-0.421161,-0.07709887,-0.1665352,-0.8882259,,,,,,
1,0.8222231,0.4003116,1.17103,2.90797108,-0.423723,-0.06244136,-0.1825423,-0.8850075,,,,,,
1,0.8333342,0.4037626,1.180476,2.90451113,-0.4251449,-0.04988423,-0.1993305,-0.8814935,,,,,,
1,0.8444453,0.4070641,1.189757,2.90122848,-0.4257904,-0.03870747,-0.2163385,-0.8777254,,,,,,
1,0.8555565,0.4102114,1.200155,2.89789521,-0.425721,-0.0303934,-0.2341987,-0.8734924,,,,,,
1,0.8666676,0.4133046,1.211154,2.89493628,-0.4259325,-0.02393648,-0.2530523,-0.8683163,,,,,,
1,0.8777788,0.4163356,1.222705,2.89172103,-0.4263268,-0.01821697,-0.2731209,-0.8621593,,,,,,
